gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
YBR210W	ERV15	3.408992344	5.60113674
YBR211C	AME1	2.29522269	1.587827008
YBR212W	NGR1	3.622061514	4.463739635
YBR213W	MET8	2.760955868	NA
YBR214W	SDS24	5.705639014	10.45656778
YBR215W	HPC2	2.870071303	3.664524423
YBR216C	YBP1	1.896384516	2.969329283
YBR217W	ATG12	4.276790642	2.171062732
YBR218C	PYC2	8.222874456	8.499868703
YBR219C	YBR219C	NA	NA
YBR220C	YBR220C	3.33172315	4.02022845
YBR221C	PDB1	18.31298135	19.63427066
YBR221W-A	YBR221W-A	NA	NA
YBR222C	PCS60	6.233499989	6.83652364
YBR223C	TDP1	3.795213031	2.573426159
YBR223W-A	YBR223W-A	NA	NA
YBR224W	YBR224W	NA	NA
YBR225W	YBR225W	0.683990704	1.668382607
YBR226C	YBR226C	2.534376148	1.210191414
YBR227C	MCX1	3.946305634	4.004871907
YBR228W	SLX1	4.468579984	3.363474299
YBR229C	ROT2	4.983531123	5.424446311
YBR230C	OM14	8.987284097	29.90023724
YBR230W-A	YBR230W-A	NA	NA
YBR231C	SWC5	2.629246505	NA
YBR232C	YBR232C	NA	NA
YBR233W	PBP2	4.191785968	2.833565289
YBR233W-A	DAD3	4.842683417	3.756165904
YBR234C	ARC40	8.177281851	10.15123848
YBR235W	VHC1	2.983777658	3.256146089
YBR236C	ABD1	4.325245368	5.087336768
YBR237W	PRP5	1.296126718	2.565981348
YBR238C	YBR238C	3.596868139	3.19714647
YBR239C	ERT1	0.727001578	1.359881161
YBR240C	THI2	NA	NA
YBR241C	YBR241C	4.760395245	4.284531672
YBR242W	YBR242W	3.614624845	4.564214289
YBR243C	ALG7	4.077441844	4.39087647
YBR244W	GPX2	8.326553393	NA
YBR245C	ISW1	4.238355913	4.698206806
YBR246W	RRT2	3.912637881	4.970217379
YBR247C	ENP1	3.446379874	3.178360982
YBR248C	HIS7	4.586898791	4.114116057
YBR249C	ARO4	15.00914277	NA
YBR250W	SPO23	NA	NA
YBR251W	MRPS5	2.824048823	3.641811618
YBR252W	DUT1	7.189687335	5.372114018
YBR253W	SRB6	NA	5.447824452
YBR254C	TRS20	3.03263466	4.484037985
YBR255C-A	YBR255C-A	2.134709516	NA
YBR255W	MTC4	1.336485715	1.460017697
YBR256C	RIB5	7.65393761	7.483748235
YBR257W	POP4	1.617356968	2.116483575
YBR258C	SHG1	4.859797416	5.031745247
YBR259W	YBR259W	1.579799632	1.475194217
YBR260C	RGD1	2.989638646	3.847024255
YBR261C	TAE1	9.303118632	7.098521257
YBR262C	AIM5	5.53886968	6.623020409
YBR263W	SHM1	15.22755121	13.81926407
YBR264C	YPT10	3.760568748	6.810586365
YBR265W	TSC10	3.758554821	5.002455189
YBR266C	SLM6	NA	NA
YBR267W	REI1	1.617993059	1.622007885
YBR268W	MRPL37	5.092075408	3.932356195
YBR269C	FMP21	7.161683654	4.445419066
YBR270C	BIT2	1.126256499	NA
YBR271W	EFM2	3.318192772	3.065337434
YBR272C	HSM3	3.790915283	3.853023339
YBR273C	UBX7	6.47483297	6.182250692
YBR274W	CHK1	3.002578602	5.172971741
YBR275C	RIF1	2.599056905	2.801791912
YBR276C	PPS1	4.668811033	5.067734697
YBR277C	YBR277C	2.174756662	3.470079963
YBR278W	DPB3	3.837536598	4.895963858
YBR279W	PAF1	2.912579777	3.585543797
YBR280C	SAF1	4.146252419	10.6833579
YBR281C	DUG2	3.942726959	5.057008221
YBR282W	MRPL27	6.629212546	5.785575443
YBR283C	SSH1	5.914421928	6.456796525
YBR284W	YBR284W	NA	NA
YBR285W	YBR285W	NA	NA
YBR286W	APE3	13.02110045	9.927637385
YBR287W	YBR287W	3.548049861	3.609278716
YBR288C	APM3	3.831677272	4.707559515
YBR289W	SNF5	2.407450602	2.430541525
YBR290W	BSD2	2.224049704	2.637550085
YBR291C	CTP1	3.459183588	3.362993808
YBR292C	YBR292C	NA	NA
YBR293W	VBA2	3.994558031	3.74182163
YBR294W	SUL1	1.485803946	3.848850168
YBR295W	PCA1	2.735892006	2.955668811
YBR296C	PHO89	3.117061952	2.992396872
YBR296C-A	YBR296C-A	NA	NA
YBR297W	MAL33	3.609272099	2.457342946
YBR298C	MAL31	NA	NA
YBR298C-A	YBR298C-A	NA	NA
YBR299W	MAL32	NA	NA
YBR300C	YBR300C	NA	NA
YBR301W	PAU24	NA	NA
YCL001W	RER1	4.963949448	6.134263648
YCL001W-A	YCL001W-A	NA	NA
YCL001W-B	YCL001W-B	NA	NA
YCL002C	YCL002C	3.125690457	3.729290145
YCL004W	PGS1	2.201438273	4.196000507
YCL005W	LDB16	2.796799259	3.24147314
YCL005W-A	VMA9	17.76506628	11.91085307
YCL007C	YCL007C	NA	NA
YCL008C	STP22	5.714282852	8.885771056
YCL009C	ILV6	17.09535979	21.21189069
YCL010C	SGF29	5.939688169	3.609512333
YCL011C	GBP2	7.139759198	9.161253574
YCL012C	YCL012C	4.807036643	6.340406471
YCL014W	BUD3	2.644678781	3.791660861
YCL016C	DCC1	2.601010813	2.673649513
YCL017C	NFS1	8.621575823	8.808771378
YCL018W	LEU2	1.866139113	1.29165417
YCL021W-A	YCL021W-A	12.15247047	3.617362829
YCL022C	YCL022C	2.230759847	3.98131177
YCL023C	YCL023C	NA	NA
YCL024W	KCC4	1.116415083	2.543343686
YCL025C	AGP1	1.462813381	1.6160305
YCL026C-A	FRM2	NA	NA
YCL026C-B	HBN1	NA	NA
YCL027W	FUS1	7.332343253	7.855178084
YCL028W	RNQ1	9.854381113	10.92640018
YCL029C	BIK1	1.661322885	3.680435745
YCL030C	HIS4	5.980452476	6.519256431
YCL031C	RRP7	2.171832962	2.031252649
YCL032W	STE50	3.198382764	3.258584374
YCL033C	MXR2	17.11994942	7.21470252
YCL034W	LSB5	5.543086053	7.471411862
YCL035C	GRX1	6.397236577	16.01013229
YCL036W	GFD2	1.187031751	1.446337662
YCL037C	SRO9	2.628166305	4.20381741
YCL038C	ATG22	3.528604805	4.519574872
YCL039W	GID7	2.593255318	5.257195008
YCL040W	GLK1	11.79038431	NA
